No,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5,pm2.5_pre
1,-21,-11,1021,NW,1.79,0,0,NA,NA
2,-21,-12,1020,NW,4.92,0,0,NA,NA
3,-21,-11,1019,NW,6.71,0,0,NA,NA
4,-21,-14,1019,NW,9.84,0,0,NA,NA
5,-20,-12,1018,NW,12.97,0,0,NA,NA
6,-19,-10,1017,NW,16.1,0,0,NA,NA
7,-19,-9,1017,NW,19.23,0,0,NA,NA
8,-19,-9,1017,NW,21.02,0,0,NA,NA
9,-19,-9,1017,NW,24.15,0,0,NA,NA
10,-20,-8,1017,NW,27.28,0,0,NA,NA
11,-19,-7,1017,NW,31.3,0,0,NA,NA
12,-18,-5,1017,NW,34.43,0,0,NA,NA
13,-19,-5,1015,NW,37.56,0,0,NA,NA
14,-18,-3,1015,NW,40.69,0,0,NA,NA
15,-18,-2,1014,NW,43.82,0,0,NA,NA
16,-18,-1,1014,cv,0.89,0,0,NA,NA
17,-19,-2,1015,NW,1.79,0,0,NA,NA
18,-18,-3,1015,NW,2.68,0,0,NA,NA
19,-18,-5,1016,NE,1.79,0,0,NA,NA
20,-17,-4,1017,NW,1.79,0,0,NA,NA
21,-17,-5,1017,cv,0.89,0,0,NA,NA
22,-17,-5,1018,NW,1.79,0,0,NA,NA
23,-17,-5,1018,NW,2.68,0,0,NA,NA
24,-17,-5,1020,cv,0.89,0,0,NA,NA
25,-16,-4,1020,SE,1.79,0,0,129,129
26,-15,-4,1020,SE,2.68,0,0,148,148
27,-11,-5,1021,SE,3.57,0,0,159,159
28,-7,-5,1022,SE,5.36,1,0,181,181
29,-7,-5,1022,SE,6.25,2,0,138,138
30,-7,-6,1022,SE,7.14,3,0,109,109
31,-7,-6,1023,SE,8.93,4,0,105,105
32,-7,-5,1024,SE,10.72,0,0,124,124
33,-8,-6,1024,SE,12.51,0,0,120,120
34,-7,-5,1025,SE,14.3,0,0,132,132
35,-7,-5,1026,SE,17.43,1,0,140,140
36,-8,-5,1026,SE,20.56,0,0,152,152
